 ('rcv_settle_conv_rt-most_frequent_item',0
 ('is_risk_mcc_cd-sum',0
 ('rcv_settle_curr_cd-most_frequent_item',0
 ('fwd_settle_cruu_cd-most_frequent_item',0
 ('cdhd_curr_cd-most_frequent_item',0
 ('is_risk_pos_entry_md_cd-sum',0
 ('is_risk_trans_id_cd-sum',0
 ('is_risk_fwd_settle_conv_rt-sum',0
 ('fwd_settle_at-min',0
 ('fwd_settle_at-max',0
 ('fwd_settle_at-mean',0
 ('fwd_settle_at-median',0
 ('fwd_settle_at-std',0
 ('fwd_settle_at-var',0
 ('fwd_settle_at-peak_to_peak',0
 ('orig_trans_st-most_frequent_item',0
 ('cdhd_conv_rt-most_frequent_item',0
 ('is_risk_trans_st-sum',0
 ('trans_st-most_frequent_item',0
 ('is_risk_fwd_settle_cruu_cd-sum',0
 ('is_risk_trans_chnl-sum',0
 ('cdhd_at-min',0
 ('cdhd_at-max',0
 ('cdhd_at-mean',0
 ('cdhd_at-median',0
 ('cdhd_at-std',0
 ('cdhd_at-var',0
 ('is_risk_cdhd_conv_rt-sum',0
 ('trans_curr_cd-most_frequent_item',0
 ('tras_at_max_mean_ratio',0
