,0,1
139,auth_id_resp_cd-countDistinct,0.00862512168633
140,auth_id_resp_cd-most_frequent_item,5.24073075396e-06
141,auth_id_resp_cd-most_frequent_cnt,0.0101608270718
142,is_risk_cdhd_conv_rt-sum,5.5170081395e-08
143,is_risk_iss_ins_cd-sum,0.000712756845802
144,trans_curr_cd-countDistinct,3.45226174166e-05
145,trans_curr_cd-most_frequent_item,0.0
146,trans_curr_cd-most_frequent_cnt,0.0028834956049
147,stageInMonth-countDistinct,0.00173622513343
148,stageInMonth-most_frequent_item,0.00439263536449
149,stageInMonth-most_frequent_cnt,0.00845283055787
150,tras_at_max_mean_ratio,0.0
151,apply_max_delta,0.016061480502
152,apply_mean_delta,0.0219182089775
153,min_apply_delta,0.0216927923288
154,aera_code_encode,0.0299977299026
155,is_risk_aera_code,0.00909769270885
156,prov,0.0043445919167
157,city,0.0146514410226
