e67da53e64ee10168a14d5b1bf44cdda,75e4b855a8b793b7295f2a6d1c7ac9fd,124,1100
e4271157996742ee32b1bcf6da5de1f1,75e4b855a8b793b7295f2a6d1c7ac9fd,173,100
4271ff39e2a7101fe4c26b368a1d84c0,75e4b855a8b793b7295f2a6d1c7ac9fd,153,35000
a6cc25c5059ff8dbf2eaff3fdfa00986,75e4b855a8b793b7295f2a6d1c7ac9fd,151,30000
31ca34ee1935b70cc54cc40411354dab,75e4b855a8b793b7295f2a6d1c7ac9fd,100,1000
e14b039c2352734ebca1b2b1250f06eb,75e4b855a8b793b7295f2a6d1c7ac9fd,100,1000
e862b6f96737c8a2a68ae907b15c397f,48357f8253b305036122f866c3e20a27,95,100
f9f1d57d6032fd58ccf06c800ee5036a,75e4b855a8b793b7295f2a6d1c7ac9fd,161,300
3d13b52c4dc8fa8c6d93a201d93deca5,75e4b855a8b793b7295f2a6d1c7ac9fd,151,26000
d002d0af5e3d76a0bb66350a7f0f52ae,75e4b855a8b793b7295f2a6d1c7ac9fd,85,500
38d7cca58973f4fd0af0d6b8df417109,75e4b855a8b793b7295f2a6d1c7ac9fd,101,500
404da2d2e783e17dab6c8f0d89aaf80d,75e4b855a8b793b7295f2a6d1c7ac9fd,141,1000
cdfa4b74d5255cf9e1ff93ba45c2ea7c,5a94bc9e25a6cbc95dad68fd97052d2d,95,500
1c4e5b993282b4a9e08cbf38f49920fe,5a94bc9e25a6cbc95dad68fd97052d2d,101,500
a3f9466734601d8716a419174c803107,75e4b855a8b793b7295f2a6d1c7ac9fd,150,50000
9f01c6f07efa2c5d3f75bf63a59dbeeb,75e4b855a8b793b7295f2a6d1c7ac9fd,151,52000
9c0d73ce66aeac4cafb35f9cdf865974,75e4b855a8b793b7295f2a6d1c7ac9fd,85,500
66043e4458646b7b3041f6f034994c23,75e4b855a8b793b7295f2a6d1c7ac9fd,153,40000
77a49444302091accf95f8495718a987,75e4b855a8b793b7295f2a6d1c7ac9fd,153,300
fc8e900a141abe9c721774da4a8f0bdf,75e4b855a8b793b7295f2a6d1c7ac9fd,160,300
e66ce38aec0474b9f86cfaaa07d44c6d,75e4b855a8b793b7295f2a6d1c7ac9fd,152,30000
842983a5b63ac5928e36a6abbcd3c269,75e4b855a8b793b7295f2a6d1c7ac9fd,153,300
38d7cca58973f4fd0af0d6b8df417109,75e4b855a8b793b7295f2a6d1c7ac9fd,154,300
f9f1d57d6032fd58ccf06c800ee5036a,75e4b855a8b793b7295f2a6d1c7ac9fd,124,1200
9ce201e5f7021d7bda78fd909996b655,75e4b855a8b793b7295f2a6d1c7ac9fd,141,1000
586f5a20b4a17f7b21b76396c30d329c,04c2bec8b7836db6c0b4cefd20aabdee,151,500
432f8e47a4474ba464ea8ce657e92f55,69a747a85aed6e74aa2c73383b0e0028,135,300
3d0d4156a10300e942915afcb08f943e,75e4b855a8b793b7295f2a6d1c7ac9fd,153,45000
