0135fa2d321f42cbb65d5e5f6e5a0d25		2900	0	144	S00
0135fa2d321f42cbb65d5e5f6e5a0d25		158	828780	101	S24
0135fa2d321f42cbb65d5e5f6e5a0d25		2900	200	95	S33
04c2bec8b7836db6c0b4cefd20aabdee		2900	0	90	S00
04c2bec8b7836db6c0b4cefd20aabdee		392	986753	172	S24
04c2bec8b7836db6c0b4cefd20aabdee		2900	2000	153.25	S33
05aa7ed12511dcf19b2a1a386ecebf83		392	7201	171	S24
08b589b5cbe76fbe0d401c947d6e63ff		2900	0	178.5	S00
08b589b5cbe76fbe0d401c947d6e63ff		6510	1000	178.5	S03
08b589b5cbe76fbe0d401c947d6e63ff		392	993954	186	S24
09bbdb40d9399ee0cf56ffa45949df4c		2900	0	145	S00
09bbdb40d9399ee0cf56ffa45949df4c		158	828780	102	S24
0b958af95c9aba4f8857fb75f5d1b4d1		392	0	160	S00
0dfcdfbc276e3ab383a395e9320a6c70		392	7201	171	S24
0ec75fae11651e7659e64de048099e87		392	980253	152	S24
0fce1530f630e50fcaad3e9dc31d9955		158	414390	83	S24
119135b9ee7a095c9c886642c10f9c15		2900	0	174	S00
119135b9ee7a095c9c886642c10f9c15		6510	500	174	S03
119135b9ee7a095c9c886642c10f9c15		392	7201	171	S24
14a18b5e92a6e5ac33a1adeecf842b93		2900	0	145	S00
14a18b5e92a6e5ac33a1adeecf842b93		158	828780	102	S24
17002cca434f45b8734be7ec9052851e		2900	0	90	S00
17002cca434f45b8734be7ec9052851e		392	993240	131	S24
17002cca434f45b8734be7ec9052851e		2900	10500	107.5	S33
17945d8adb8f53b23b3f2bfbe4740e4f		2900	500	101	S33
19fd067bb00914028c88674d57de2224		2900	0	150	S00
19fd067bb00914028c88674d57de2224		158	828780	105	S24
1ae8e00a1704293b54e783adcbdd04e4		2900	0	187.5	S00
1ae8e00a1704293b54e783adcbdd04e4		6510	1500	183.3333333	S03
1ae8e00a1704293b54e783adcbdd04e4		392	7201	171	S24
1b0aaf2cc34c6d3321cec8f3131cc84b		1100	0	115	S00
1b0aaf2cc34c6d3321cec8f3131cc84b		1100	100000	115	S24
1b5935a439f08b75269fe1e5e28db888		2900	1100	142	S33
1c4e5b993282b4a9e08cbf38f49920fe		2900	0	151	S00
1c4e5b993282b4a9e08cbf38f49920fe		158	831910	163.6666667	S24
1c7461909ad2e848fe0ab5e0affd847b		2900	0	174	S00
1c7461909ad2e848fe0ab5e0affd847b		6510	500	174	S03
1c7461909ad2e848fe0ab5e0affd847b		392	993954	177.5	S24
1d5f45491e9be676e38ac9d6c05776f5		2900	0	148.75	S00
1d5f45491e9be676e38ac9d6c05776f5		6510	1000	146.5	S03
1dadb41ce5747023f19dd3488955c5a6		2900	0	152	S00
1dd026b547e50002d5cc44de26aaca40		158	828780	92	S24
213d9ad2a16c06258e71bc93139ee242		2900	0	144	S00
213d9ad2a16c06258e71bc93139ee242		158	828780	101	S24
213d9ad2a16c06258e71bc93139ee242		2900	100	95	S33
